fighter_url,first_name,last_name,nickname,height_inches,weight_lbs,reach_inches,stance,wins,loss,draws,belt
http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom,Aaron,,,155.0,,,5,3,0,False
http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,Danny,Abbadi,The Assassin,71.0,155.0,,Orthodox,4,6,0,False
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,Tank,72.0,265.0,,Switch,10,14,0,False
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,75.0,235.0,76.0,Orthodox,20,5,0,False
http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki,Abe,Abe Ani,66.0,145.0,,Orthodox,8,14,3,False
http://www.ufcstats.com/fighter-details/5140122c3eecd307,Daichi,Abe,,71.0,170.0,71.0,Orthodox,6,2,0,False
http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Papy,Abedi,Makambo,71.0,185.0,74.0,Southpaw,9,3,0,False
http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo,Abreu,Demente,71.0,185.0,73.0,Orthodox,5,3,0,False
http://www.ufcstats.com/fighter-details/7279654c7674cd24,Klidson,Abreu,White Bear,72.0,205.0,74.0,Orthodox,15,4,0,False
http://www.ufcstats.com/fighter-details/1c5879330d42255f,Daniel,Acacio,,68.0,180.0,,Orthodox,26,12,0,False
http://www.ufcstats.com/fighter-details/2620f3eb21c79614,Scott,Adams,,72.0,225.0,,Southpaw,8,1,0,False
http://www.ufcstats.com/fighter-details/83b00f7597e5ac83,Juan,Adams,The Kraken,77.0,265.0,80.0,Orthodox,5,3,0,False
http://www.ufcstats.com/fighter-details/a77633a989013265,Anthony,Adams,Sugafoot,72.0,185.0,77.0,Orthodox,7,1,0,False
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel,Adesanya,The Last Stylebender,76.0,185.0,80.0,Switch,19,0,0,True
http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,Sam,Adkins,The Experience,75.0,225.0,,Orthodox,7,20,2,False
http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb,Nick,Agallar,,68.0,155.0,,Orthodox,24,6,0,False
http://www.ufcstats.com/fighter-details/a08ddd04eaffd81d,Mariya,Agapova,,68.0,125.0,,Southpaw,6,1,0,False
http://www.ufcstats.com/fighter-details/44aa652b181bcf68,Marcelo,Aguiar,,70.0,170.0,,Orthodox,2,3,1,False
http://www.ufcstats.com/fighter-details/6cadc0a0ba7dc015,Edwin,Aguilar,Tigre,70.0,185.0,,,22,16,0,False
http://www.ufcstats.com/fighter-details/8f382b3baa954d2a,Jessica,Aguilar,Jag,63.0,115.0,63.0,Orthodox,20,8,0,False
http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,Kevin,Aguilar,Angel of Death,67.0,145.0,73.0,Orthodox,17,3,0,False
http://www.ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Mike,Aina,Iron,69.0,155.0,,Orthodox,12,6,1,False
http://www.ufcstats.com/fighter-details/2eada40ac8801559,Hitomi,Akano,Girlfight Monster,64.0,135.0,,Southpaw,18,8,0,False
http://www.ufcstats.com/fighter-details/16690d100f995f8f,Omari,Akhmedov,Wolverine,72.0,185.0,73.0,Orthodox,20,4,1,False
http://www.ufcstats.com/fighter-details/b0550072e5f0afa7,Yoshihiro,Akiyama,,70.0,170.0,73.0,Orthodox,14,6,0,False
http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,Rostem,Akman,Kurdimus Prime,70.0,170.0,72.0,Switch,6,2,0,False
http://www.ufcstats.com/fighter-details/38b50fd1e1b5b656,Razak,Al-Hassan,,74.0,205.0,,Orthodox,11,5,0,False
http://www.ufcstats.com/fighter-details/1cf1310684a841f5,Mostapha,Al-Turk,,74.0,245.0,77.0,Orthodox,6,6,0,False
http://www.ufcstats.com/fighter-details/7578cc6bd750206b,Herdem,Alacabek,,74.0,205.0,75.0,Orthodox,5,1,0,False
http://www.ufcstats.com/fighter-details/2144954270be834d,Javi,Alanis,,66.0,135.0,,,0,3,0,False
http://www.ufcstats.com/fighter-details/1897b7b913736a7c,Heili,Alateng,The Mongolian Knight,65.0,135.0,66.0,Orthodox,14,7,1,False
http://www.ufcstats.com/fighter-details/9b28292abe3166d5,Brett,Albee,,,225.0,,,3,1,0,False
http://www.ufcstats.com/fighter-details/7bd94b60d7521e4a,John,Albert,Prince,68.0,135.0,68.0,Orthodox,7,5,0,False
http://www.ufcstats.com/fighter-details/c482c8605455a213,Junior,Albini,Baby,75.0,264.0,74.0,Orthodox,14,6,0,False
http://www.ufcstats.com/fighter-details/184b955181bdef52,Wes,Albritton,,70.0,188.0,,Orthodox,0,1,0,False
http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,Alexandra,Albu,Stitch,62.0,115.0,63.0,Orthodox,7,2,0,False
http://www.ufcstats.com/fighter-details/dd1b90eea08887f6,Israel,Albuquerque,,,185.0,,Orthodox,0,3,0,False
http://www.ufcstats.com/fighter-details/39f62b833e4cf126,Juan,Alcain,,,,,,1,2,0,False
http://www.ufcstats.com/fighter-details/2f95a3c6d58b2aad,Iuri,Alcantara,Marajo,69.0,135.0,71.0,Southpaw,35,10,0,False
http://www.ufcstats.com/fighter-details/7c6e87729e824ef4,Ildemar,Alcantara,Marajo,74.0,185.0,78.0,Orthodox,21,8,0,False
http://www.ufcstats.com/fighter-details/1e38bba6738b7b10,Alfonso,Alcarez,,63.0,145.0,,,1,3,1,False
http://www.ufcstats.com/fighter-details/d26934530dc5b248,Gilbert,Aldana,El Peligro,73.0,250.0,,Orthodox,6,2,0,False
http://www.ufcstats.com/fighter-details/578ef12674df1e6a,Irene,Aldana,,69.0,135.0,68.0,Orthodox,12,5,0,False
http://www.ufcstats.com/fighter-details/c487223b0289bda9,Hector,Aldana,El Charro,71.0,170.0,72.0,Orthodox,4,4,0,False
http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,Jose,Aldo,,67.0,135.0,70.0,Orthodox,28,6,0,False
http://www.ufcstats.com/fighter-details/6fd953151d981979,JJ,Aldrich,,65.0,125.0,67.0,Southpaw,8,4,0,False
http://www.ufcstats.com/fighter-details/fe5a9547479396ab,Jim,Alers,The Beast,69.0,145.0,71.0,Orthodox,13,3,0,False
http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02,John,Alessio,The Natural,70.0,155.0,72.0,Orthodox,34,16,0,False
http://www.ufcstats.com/fighter-details/0541480fbf719d86,Houston,Alexander,The Assassin,72.0,205.0,72.0,Orthodox,13,8,1,False
http://www.ufcstats.com/fighter-details/8fd76e1b49c00ae2,Kenneth,Alexander,The Machine,69.0,155.0,,Orthodox,5,5,0,False
http://www.ufcstats.com/fighter-details/d53482bef23235ba,Marcio,Alexandre Junior,Lyoto,72.0,185.0,75.0,Southpaw,17,4,0,False
http://www.ufcstats.com/fighter-details/b757c73f443d4fca,Olaf,Alfonso,,74.0,170.0,,Orthodox,8,11,0,False
http://www.ufcstats.com/fighter-details/4b37a0bc2ab4cae1,Pablo,Alfonso,The Hurricane,68.0,145.0,,,6,5,0,False
http://www.ufcstats.com/fighter-details/41b34b7f11f6d085,Levi,Alford,,,,,,1,4,0,False
http://www.ufcstats.com/fighter-details/9abc648e76c4493a,Bill,Algeo,Senor Perfecto,72.0,145.0,73.0,Switch,12,3,0,False
http://www.ufcstats.com/fighter-details/669a3cb6e394f515,Royce,Alger,,70.0,199.0,,Orthodox,3,2,0,False
http://www.ufcstats.com/fighter-details/e17770faae3ca54c,Amir,Aliakbari,,75.0,250.0,,,10,1,0,False
http://www.ufcstats.com/fighter-details/e70de1859b7ee78e,Sultan,Aliev,,71.0,170.0,74.0,Orthodox,15,3,0,False
http://www.ufcstats.com/fighter-details/6ebe96a116e79e52,John,Allan,,75.0,205.0,75.0,Orthodox,13,5,0,False
http://www.ufcstats.com/fighter-details/1e13936d708bcff7,George,Allen,,74.0,205.0,,Open Stance,13,19,2,False
http://www.ufcstats.com/fighter-details/040a74bb0a465c54,Arnold,Allen,Almighty,68.0,145.0,70.0,Southpaw,16,1,0,False
http://www.ufcstats.com/fighter-details/2f181c0467965b98,Brendan,Allen,All In,74.0,185.0,75.0,Orthodox,14,3,0,False
http://www.ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Benny,Alloway,Blanco,71.0,170.0,75.0,Orthodox,13,6,0,False
http://www.ufcstats.com/fighter-details/91186547a7f3f758,Ricardo,Almeida,Big Dog,72.0,170.0,74.0,Orthodox,13,5,0,False
http://www.ufcstats.com/fighter-details/d615d6a10a4704cd,Magno,Almeida,,72.0,155.0,,,9,3,0,False
http://www.ufcstats.com/fighter-details/2b074403b7c6cdb4,Thomas,Almeida,Thominhas,67.0,135.0,70.0,Southpaw,22,3,0,False
http://www.ufcstats.com/fighter-details/67a992d4cff22466,Ericka,Almeida,,66.0,115.0,68.0,Orthodox,7,2,0,False
http://www.ufcstats.com/fighter-details/f16ddfa31236efed,Estefani,Almeida,,64.0,125.0,,Orthodox,7,2,0,False
http://www.ufcstats.com/fighter-details/c6bf75775b278ed8,Mauricio,Alonso,,74.0,170.0,,,13,7,0,False
http://www.ufcstats.com/fighter-details/49b130de1da2e1bf,Sarah,Alpar,Too Sweet,64.0,135.0,,Southpaw,8,4,0,False
http://www.ufcstats.com/fighter-details/c61b49cec6abd6b9,Rico,Altamirano,,70.0,170.0,,,3,2,0,False
http://www.ufcstats.com/fighter-details/c11036da9162cb5f,Mike,Altman,,70.0,185.0,,Orthodox,1,4,0,False
http://www.ufcstats.com/fighter-details/e741536153227386,Sean,Alvarez,,72.0,235.0,,Orthodox,4,3,0,False
http://www.ufcstats.com/fighter-details/33a331684283900f,Eddie,Alvarez,The Underground King,69.0,155.0,69.0,Orthodox,29,6,0,False
http://www.ufcstats.com/fighter-details/4438482bd1d5a029,Jaime,Alvarez,,68.0,125.0,69.0,Orthodox,6,1,0,False
http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,Joel,Alvarez,El Fenomeno,75.0,155.0,77.0,Orthodox,16,2,0,False
http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f,Thiago,Alves,Pitbull,69.0,170.0,70.0,Orthodox,28,15,0,False
http://www.ufcstats.com/fighter-details/bd92cf5da5413d2a,Anthony,Alves,,,,,,1,3,0,False
http://www.ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,Amilcar,Alves,,72.0,170.0,,Southpaw,11,4,0,False
http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,Warlley,Alves,,71.0,170.0,72.0,Orthodox,14,4,0,False
http://www.ufcstats.com/fighter-details/d156513a19acf856,Sam,Alvey,Smile'N,74.0,205.0,75.0,Southpaw,33,14,0,False
http://www.ufcstats.com/fighter-details/20821819c401ced8,Andre,Amado,Dida,72.0,154.0,,Orthodox,6,4,1,False
http://www.ufcstats.com/fighter-details/1e327b281ef6a745,Adlan,Amagov,Borz,74.0,170.0,76.0,Orthodox,13,2,1,False
http://www.ufcstats.com/fighter-details/247fbbfafea60bb1,Maiara,Amanajas dos Santos,,65.0,115.0,,Southpaw,7,3,0,False
http://www.ufcstats.com/fighter-details/ee0b69e307c857e5,Chris,Amarante,,,185.0,,,2,0,0,False
